date,open,high,low,close
2024-01-01,,,,
2024-01-02,0.84025,0.85071,0.83916,0.85035
2024-01-03,0.8501,0.85546,0.84894,0.84912
2024-01-04,0.84974,0.85289,0.84774,0.85024
2024-01-05,0.85026,0.85769,0.8456,0.85058
2024-01-08,0.84968,0.85214,0.84604,0.84805
2024-01-09,0.84831,0.85318,0.84644,0.8523
2024-01-10,0.85273,0.85354,0.85072,0.85084
2024-01-11,0.85109,0.85663,0.84881,0.852
2024-01-12,0.85214,0.85509,0.84888,0.85274
2024-01-15,0.85195,0.85622,0.85195,0.85579
2024-01-16,0.85608,0.86197,0.85549,0.86158
2024-01-17,0.86127,0.86853,0.86077,0.86443
2024-01-18,0.86441,0.86941,0.86331,0.86808
2024-01-19,0.86832,0.87047,0.86766,0.86819
2024-01-22,0.86878,0.87007,0.86662,0.86909
2024-01-23,0.86956,0.87285,0.86502,0.87027
2024-01-24,0.87015,0.87105,0.86067,0.86282
2024-01-25,0.86298,0.86851,0.8626,0.86707
2024-01-26,0.86709,0.86852,0.86163,0.864
2024-01-29,0.86488,0.86573,0.8607,0.86133
2024-01-30,0.86214,0.86433,0.86066,0.86179
2024-01-31,0.86136,0.86439,0.85511,0.86137
2024-02-01,0.86137,0.86497,0.85712,0.85778
2024-02-02,0.8578,0.86808,0.85535,0.8668
2024-02-05,0.86635,0.87187,0.86498,0.8706
2024-02-06,0.87062,0.87413,0.86902,0.86977
2024-02-07,0.87053,0.87534,0.86883,0.87472
2024-02-08,0.87415,0.8761,0.87244,0.87372
2024-02-09,0.87372,0.87622,0.87317,0.87459
2024-02-12,0.87495,0.87729,0.87266,0.87572
2024-02-13,0.8749,0.8881,0.87488,0.88708
2024-02-14,0.88702,0.88859,0.88476,0.88575
2024-02-15,0.88534,0.88588,0.87831,0.87997
2024-02-16,0.87971,0.88394,0.87946,0.88098
2024-02-19,0.88095,0.88282,0.8797,0.88234
2024-02-20,0.8818,0.8838,0.87858,0.88193
2024-02-21,0.88163,0.88208,0.87888,0.87966
2024-02-22,0.87928,0.88215,0.87428,0.88024
2024-02-23,0.88027,0.88195,0.87812,0.88131
2024-02-26,0.88002,0.88223,0.87882,0.88002
2024-02-27,0.88006,0.88105,0.87848,0.87859
2024-02-28,0.87957,0.88159,0.8784,0.87875
2024-02-29,0.87934,0.88471,0.87794,0.88462
2024-03-01,0.8845,0.88927,0.88302,0.88308
2024-03-04,0.88354,0.88643,0.88058,0.88495
2024-03-05,0.88469,0.88664,0.88258,0.8834
2024-03-06,0.88314,0.88557,0.88043,0.88206
2024-03-07,0.88244,0.88244,0.87728,0.87769
2024-03-08,0.87767,0.87829,0.87298,0.87742
2024-03-11,0.87744,0.8795,0.87551,0.87747
2024-03-12,0.87784,0.8795,0.87475,0.87726
2024-03-13,0.87738,0.87899,0.87664,0.87892
2024-03-14,0.8789,0.88412,0.87821,0.88372
2024-03-15,0.88332,0.88531,0.88193,0.88356
2024-03-18,0.8835,0.88849,0.88217,0.88778
2024-03-19,0.88736,0.88987,0.88672,0.8881
2024-03-20,0.8878,0.89189,0.88593,0.8868
2024-03-21,0.88663,0.89941,0.88393,0.89751
2024-03-22,0.89762,0.90204,0.89658,0.89727
2024-03-25,0.89748,0.89958,0.89692,0.89941
2024-03-26,0.89913,0.90435,0.89894,0.90395
2024-03-27,0.90359,0.90716,0.9032,0.90382
2024-03-28,0.90415,0.90648,0.89998,0.90173
2024-03-29,0.90165,0.9028,0.90071,0.90203
2024-04-01,0.90191,0.90571,0.90055,0.90433
2024-04-02,0.90471,0.9091,0.90404,0.90798
2024-04-03,0.90763,0.90956,0.90276,0.90288
2024-04-04,0.9029,0.90751,0.9009,0.90136
2024-04-05,0.90135,0.9071,0.89981,0.90227
2024-04-08,0.90122,0.90657,0.90031,0.9054
2024-04-09,0.90544,0.9058,0.9013,0.90351
2024-04-10,0.90367,0.91475,0.9025,0.91289
2024-04-11,0.91264,0.91467,0.90744,0.91
2024-04-12,0.90938,0.91447,0.90927,0.91443
2024-04-15,0.91211,0.91521,0.91141,0.9115
2024-04-16,0.91275,0.9142,0.91116,0.91303
2024-04-17,0.91276,0.91326,0.90938,0.91074
2024-04-18,0.91068,0.91255,0.9081,0.91236
2024-04-19,0.91216,0.91313,0.90112,0.91019
2024-04-22,0.91007,0.9124,0.90987,0.91208
2024-04-23,0.91155,0.91303,0.9087,0.9119
2024-04-24,0.91197,0.91533,0.91135,0.91515
2024-04-25,0.91497,0.91569,0.91173,0.91221
2024-04-26,0.91217,0.91503,0.90963,0.91445
2024-04-29,0.91355,0.91537,0.90884,0.91048
2024-04-30,0.91059,0.91954,0.90977,0.91943
2024-05-01,0.91939,0.92244,0.91458,0.91577
2024-05-02,0.91637,0.91737,0.90979,0.91068
2024-05-03,0.91007,0.91066,0.90065,0.90494
2024-05-06,0.90494,0.90664,0.90359,0.90622
2024-05-07,0.90584,0.90938,0.90556,0.90842
2024-05-08,0.90845,0.90959,0.90734,0.90798
2024-05-09,0.90784,0.90987,0.90561,0.90596
2024-05-10,0.906,0.90855,0.90549,0.9065
2024-05-13,0.90639,0.90874,0.90456,0.90832
2024-05-14,0.90822,0.91026,0.90551,0.90653
2024-05-15,0.90646,0.90709,0.90148,0.90222
2024-05-16,0.90223,0.90628,0.89882,0.90613
2024-05-17,0.90605,0.90983,0.90538,0.90911
2024-05-20,0.90887,0.91088,0.90788,0.91063
2024-05-21,0.91055,0.91165,0.90872,0.91098
2024-05-22,0.9111,0.91583,0.91061,0.91574
2024-05-23,0.91519,0.91565,0.91264,0.91436
2024-05-24,0.91436,0.91586,0.9134,0.91474
2024-05-27,0.91448,0.91536,0.91325,0.91367
2024-05-28,0.91394,0.91447,0.90857,0.91247
2024-05-29,0.91207,0.91438,0.91129,0.91325
2024-05-30,0.91335,0.91411,0.90312,0.90334
2024-05-31,0.9034,0.90693,0.90025,0.90238
2024-06-03,0.90245,0.90358,0.89504,0.89577
2024-06-04,0.8961,0.89725,0.88845,0.89019
2024-06-05,0.89037,0.89489,0.88971,0.8935
2024-06-06,0.89366,0.89384,0.88925,0.88933
2024-06-07,0.8898,0.89728,0.88813,0.89663
2024-06-10,0.89657,0.8983,0.89546,0.89658
2024-06-11,0.89619,0.89934,0.89546,0.89762
2024-06-12,0.89741,0.89835,0.88932,0.89438
2024-06-13,0.89392,0.89674,0.89322,0.89388
2024-06-14,0.89389,0.89518,0.88948,0.89027
2024-06-17,0.89023,0.89322,0.88949,0.88958
2024-06-18,0.89035,0.89138,0.88269,0.88415
2024-06-19,0.88408,0.88546,0.88339,0.88456
2024-06-20,0.88455,0.89262,0.88323,0.89141
2024-06-21,0.89107,0.89578,0.89051,0.89428
2024-06-24,0.89376,0.89454,0.89218,0.8929
2024-06-25,0.89335,0.89527,0.89134,0.89476
2024-06-26,0.8948,0.89832,0.89444,0.89742
2024-06-27,0.89694,0.89892,0.89575,0.89885
2024-06-28,0.89877,0.90099,0.89795,0.89868
2024-07-01,0.89748,0.90447,0.89748,0.90277
2024-07-02,0.90302,0.90498,0.90255,0.90394
2024-07-03,0.90354,0.90505,0.89856,0.90152
2024-07-04,0.90154,0.90396,0.89916,0.90004
2024-07-05,0.89988,0.90074,0.8954,0.8958
2024-07-08,0.89617,0.89769,0.89435,0.89763
2024-07-09,0.89752,0.89906,0.89689,0.89777
2024-07-10,0.89775,0.9001,0.89641,0.89957
2024-07-11,0.89935,0.89981,0.89154,0.89648
2024-07-12,0.8954,0.89706,0.89325,0.89451
2024-07-15,0.8945,0.89726,0.89342,0.89575
2024-07-16,0.89557,0.8979,0.89352,0.89383
2024-07-17,0.89411,0.89451,0.88273,0.88339
2024-07-18,0.88339,0.88789,0.88201,0.88781
2024-07-19,0.88677,0.88999,0.88659,0.8889
2024-07-22,0.88807,0.89023,0.88712,0.88967
2024-07-23,0.88933,0.89241,0.88884,0.89139
2024-07-24,0.89121,0.89215,0.88288,0.88517
2024-07-25,0.88533,0.88573,0.8777,0.88162
2024-07-26,0.88137,0.88451,0.88025,0.88387
2024-07-29,0.88395,0.88716,0.88204,0.88614
2024-07-30,0.88643,0.88756,0.88258,0.88267
2024-07-31,0.88309,0.88346,0.87705,0.87802
2024-08-01,0.87898,0.87898,0.8726,0.87294
2024-08-02,0.87353,0.87353,0.85738,0.85795
2024-08-05,0.85844,0.85948,0.84325,0.8523
2024-08-06,0.85239,0.85719,0.85012,0.85137
2024-08-07,0.85224,0.86623,0.8513,0.8617
2024-08-08,0.86361,0.86741,0.856,0.86668
2024-08-09,0.86629,0.86721,0.86322,0.86527
2024-08-12,0.86463,0.8712,0.86418,0.86521
2024-08-13,0.8655,0.86801,0.8637,0.86484
2024-08-14,0.86497,0.86611,0.86179,0.86514
2024-08-15,0.86513,0.87486,0.86471,0.87252
2024-08-16,0.8726,0.87288,0.86597,0.86624
2024-08-19,0.86566,0.86776,0.86158,0.86291
2024-08-20,0.86325,0.86325,0.85399,0.85406
2024-08-21,0.85407,0.85616,0.84953,0.8517
2024-08-22,0.85212,0.85343,0.84892,0.85223
2024-08-23,0.85202,0.85419,0.84706,0.84768
2024-08-26,0.84812,0.84858,0.84559,0.84728
2024-08-27,0.84684,0.84844,0.84092,0.84153
2024-08-28,0.8421,0.84522,0.84095,0.8422
2024-08-29,0.84294,0.84935,0.84003,0.84729
2024-08-30,0.84729,0.85107,0.84659,0.84999
2024-09-02,0.84987,0.85375,0.84852,0.8517
2024-09-03,0.85207,0.85378,0.84783,0.85035
2024-09-04,0.85011,0.85187,0.84632,0.84651
2024-09-05,0.84674,0.84908,0.84339,0.84409
2024-09-06,0.84438,0.84759,0.83746,0.84327
2024-09-09,0.84357,0.84945,0.84234,0.84934
2024-09-10,0.84876,0.84988,0.84565,0.84701
2024-09-11,0.84715,0.85298,0.84221,0.85226
2024-09-12,0.85217,0.85497,0.85066,0.85116
2024-09-13,0.85153,0.8517,0.84438,0.84902
2024-09-16,0.84761,0.84869,0.84345,0.84477
2024-09-17,0.84477,0.84771,0.84299,0.84721
2024-09-18,0.84719,0.84801,0.83909,0.84631
2024-09-19,0.84645,0.8515,0.84492,0.84777
2024-09-20,0.84724,0.8517,0.84516,0.85035
2024-09-23,0.84983,0.8518,0.84564,0.8475
2024-09-24,0.84753,0.84901,0.84308,0.84329
2024-09-25,0.8433,0.85072,0.84151,0.85039
2024-09-26,0.8504,0.85162,0.84531,0.84619
2024-09-27,0.84617,0.84933,0.8402,0.84041
2024-09-30,0.84109,0.84525,0.84035,0.84516
